"","carrier","flight","tailnum","origin","dest","distance","departure","scheduled_departure","arrival","scheduled_arrival"
"2551","DL",95,"N624AG","JFK","LAX",2475,"16.09.2013 16:55:00 Uhr","16.09.2013 17:00:00 Uhr","16.09.2013 19:54:00 Uhr","16.09.2013 20:18:00 Uhr"
"2552","US",1665,"N758US","LGA","CLT",544,"25.01.2013 16:10:00 Uhr","25.01.2013 15:30:00 Uhr","25.01.2013 19:30:00 Uhr","25.01.2013 17:34:00 Uhr"
"2553","B6",2580,"N193JB","EWR","BOS",200,"01.09.2013 17:25:00 Uhr","01.09.2013 17:31:00 Uhr","01.09.2013 18:41:00 Uhr","01.09.2013 18:49:00 Uhr"
"2554","DL",2457,"N321NB","LGA","MSY",1183,"23.10.2013 07:58:00 Uhr","23.10.2013 08:05:00 Uhr","23.10.2013 10:21:00 Uhr","23.10.2013 10:34:00 Uhr"
"2555","UA",442,"N468UA","EWR","SAT",1569,"04.04.2013 18:49:00 Uhr","04.04.2013 18:55:00 Uhr","04.04.2013 22:00:00 Uhr","04.04.2013 22:21:00 Uhr"
"2556","EV",3810,"N13566","EWR","SAV",708,"20.02.2013 10:14:00 Uhr","20.02.2013 10:00:00 Uhr","20.02.2013 12:19:00 Uhr","20.02.2013 12:21:00 Uhr"
"2557","US",1105,"N173US","LGA","CLT",544,"11.01.2013 14:54:00 Uhr","11.01.2013 14:45:00 Uhr","11.01.2013 17:21:00 Uhr","11.01.2013 16:47:00 Uhr"
"2558","MQ",3689,"N6EAMQ","LGA","DTW",502,"10.10.2013 10:48:00 Uhr","10.10.2013 10:50:00 Uhr","10.10.2013 12:56:00 Uhr","10.10.2013 12:50:00 Uhr"
"2559","UA",312,"N491UA","EWR","PDX",2434,"11.07.2013 19:21:00 Uhr","11.07.2013 19:20:00 Uhr","11.07.2013 22:07:00 Uhr","11.07.2013 22:38:00 Uhr"
"2560","UA",1424,"N76508","LGA","DEN",1620,"28.06.2013 11:32:00 Uhr","28.06.2013 11:15:00 Uhr","28.06.2013 13:34:00 Uhr","28.06.2013 13:37:00 Uhr"
"2561","B6",507,"N630JB","EWR","FLL",1065,"17.06.2013 08:50:00 Uhr","17.06.2013 09:00:00 Uhr","17.06.2013 11:42:00 Uhr","17.06.2013 12:04:00 Uhr"
"2562","EV",4233,"N15572","EWR","BTV",266,"11.03.2013 08:10:00 Uhr","11.03.2013 08:08:00 Uhr","11.03.2013 09:10:00 Uhr","11.03.2013 09:23:00 Uhr"
"2563","UA",15,"N76055","EWR","HNL",4963,"09.08.2013 13:23:00 Uhr","09.08.2013 13:25:00 Uhr","09.08.2013 17:59:00 Uhr","09.08.2013 18:01:00 Uhr"
"2564","EV",4202,"N12567","EWR","STL",872,"05.05.2013 17:00:00 Uhr","05.05.2013 17:10:00 Uhr","05.05.2013 18:26:00 Uhr","05.05.2013 18:57:00 Uhr"
"2565","UA",522,"N825UA","LGA","ORD",733,"09.05.2013 12:49:00 Uhr","09.05.2013 12:56:00 Uhr","09.05.2013 14:12:00 Uhr","09.05.2013 14:34:00 Uhr"
"2566","WN",1889,"N233LV","LGA","STL",888,"20.12.2013 12:45:00 Uhr","20.12.2013 12:40:00 Uhr","20.12.2013 14:36:00 Uhr","20.12.2013 14:30:00 Uhr"
"2567","UA",349,"N442UA","LGA","IAH",1416,"30.07.2013 07:16:00 Uhr","30.07.2013 07:20:00 Uhr","30.07.2013 09:44:00 Uhr","30.07.2013 09:59:00 Uhr"
"2568","EV",5207,"N753EV","LGA","CLT",544,"05.09.2013 12:50:00 Uhr","05.09.2013 12:59:00 Uhr","05.09.2013 14:31:00 Uhr","05.09.2013 15:07:00 Uhr"
"2569","MQ",3985,"N902MQ","JFK","CVG",589,"20.04.2013 16:03:00 Uhr","20.04.2013 16:05:00 Uhr","20.04.2013 18:30:00 Uhr","20.04.2013 18:20:00 Uhr"
"2570","US",2179,"N754UW","LGA","DCA",214,"27.05.2013 16:01:00 Uhr","27.05.2013 15:00:00 Uhr","27.05.2013 17:33:00 Uhr","27.05.2013 16:22:00 Uhr"
"2571","9E",3300,"N605LR","JFK","DCA",213,"28.05.2013 08:33:00 Uhr","28.05.2013 08:40:00 Uhr","28.05.2013 09:44:00 Uhr","28.05.2013 10:12:00 Uhr"
"2572","B6",63,"N595JB","JFK","TPA",1005,"11.02.2013 14:29:00 Uhr","11.02.2013 14:05:00 Uhr","11.02.2013 17:20:00 Uhr","11.02.2013 17:04:00 Uhr"
"2573","UA",1171,"N39461","EWR","ORD",719,"21.06.2013 10:00:00 Uhr","21.06.2013 10:00:00 Uhr","21.06.2013 10:57:00 Uhr","21.06.2013 11:25:00 Uhr"
"2574","WN",2870,"N944WN","LGA","DEN",1620,"25.04.2013 07:39:00 Uhr","25.04.2013 07:35:00 Uhr","25.04.2013 10:02:00 Uhr","25.04.2013 10:05:00 Uhr"
"2575","MQ",3349,"N0EGMQ","LGA","MSP",1020,"02.08.2013 18:49:00 Uhr","02.08.2013 18:55:00 Uhr","02.08.2013 21:00:00 Uhr","02.08.2013 20:50:00 Uhr"
"2576","US",2085,"N560UW","LGA","CLT",544,"06.08.2013 06:26:00 Uhr","06.08.2013 06:30:00 Uhr","06.08.2013 08:11:00 Uhr","06.08.2013 08:37:00 Uhr"
"2577","EV",4160,"N12126","EWR","IAD",212,"11.05.2013 06:05:00 Uhr","11.05.2013 06:09:00 Uhr","11.05.2013 07:09:00 Uhr","11.05.2013 07:23:00 Uhr"
"2578","9E",3689,"N8980A","JFK","PHL",94,"12.01.2013 16:06:00 Uhr","12.01.2013 16:10:00 Uhr","12.01.2013 17:17:00 Uhr","12.01.2013 17:31:00 Uhr"
"2579","DL",2174,"N385DN","JFK","SLC",1990,"31.01.2013 12:32:00 Uhr","31.01.2013 12:35:00 Uhr","31.01.2013 15:20:00 Uhr","31.01.2013 16:06:00 Uhr"
"2580","B6",104,"N231JB","JFK","BUF",301,"23.02.2013 21:32:00 Uhr","23.02.2013 21:30:00 Uhr","23.02.2013 23:09:00 Uhr","23.02.2013 22:55:00 Uhr"
"2581","B6",1729,"N503JB","JFK","RSW",1074,"25.07.2013 16:19:00 Uhr","25.07.2013 15:35:00 Uhr","25.07.2013 19:08:00 Uhr","25.07.2013 18:50:00 Uhr"
"2582","B6",1002,"N594JB","JFK","BOS",187,"10.04.2013 06:31:00 Uhr","10.04.2013 06:35:00 Uhr","10.04.2013 07:19:00 Uhr","10.04.2013 07:39:00 Uhr"
"2583","B6",1117,"N583JB","LGA","TPA",1010,"10.12.2013 16:24:00 Uhr","10.12.2013 16:00:00 Uhr","10.12.2013 19:36:00 Uhr","10.12.2013 19:07:00 Uhr"
"2584","DL",874,"N325NB","LGA","MIA",1096,"09.09.2013 09:12:00 Uhr","09.09.2013 09:12:00 Uhr","09.09.2013 12:15:00 Uhr","09.09.2013 12:33:00 Uhr"
"2585","AA",341,"N4XCAA","LGA","ORD",733,"10.04.2013 16:59:00 Uhr","10.04.2013 15:00:00 Uhr","10.04.2013 19:58:00 Uhr","10.04.2013 16:45:00 Uhr"
"2586","MQ",3388,"N802MQ","LGA","CMH",479,"21.12.2013 12:51:00 Uhr","21.12.2013 12:59:00 Uhr","21.12.2013 14:33:00 Uhr","21.12.2013 14:54:00 Uhr"
"2587","FL",645,"N987AT","LGA","ATL",762,"25.04.2013 19:07:00 Uhr","25.04.2013 18:59:00 Uhr","25.04.2013 21:50:00 Uhr","25.04.2013 21:22:00 Uhr"
"2588","UA",483,"N455UA","EWR","PHX",2133,"07.06.2013 17:21:00 Uhr","07.06.2013 17:20:00 Uhr","07.06.2013 19:20:00 Uhr","07.06.2013 19:42:00 Uhr"
"2589","9E",4268,"N801AY","JFK","CLT",541,"27.07.2013 17:04:00 Uhr","27.07.2013 14:50:00 Uhr","27.07.2013 19:23:00 Uhr","27.07.2013 17:14:00 Uhr"
"2590","EV",4909,"N615QX","LGA","TVC",655,"13.07.2013 13:06:00 Uhr","13.07.2013 13:10:00 Uhr","13.07.2013 14:59:00 Uhr","13.07.2013 15:27:00 Uhr"
"2591","WN",2868,"N465WN","EWR","BNA",748,"23.12.2013 13:23:00 Uhr","23.12.2013 13:15:00 Uhr","23.12.2013 15:09:00 Uhr","23.12.2013 14:45:00 Uhr"
"2592","B6",715,"N621JB","JFK","SJU",1598,"16.01.2013 07:08:00 Uhr","16.01.2013 07:10:00 Uhr","16.01.2013 12:07:00 Uhr","16.01.2013 12:03:00 Uhr"
"2593","DL",1375,"N399DA","JFK","SLC",1990,"13.04.2013 12:28:00 Uhr","13.04.2013 12:35:00 Uhr","13.04.2013 15:36:00 Uhr","13.04.2013 15:49:00 Uhr"
"2594","US",2177,"N760US","LGA","DCA",214,"15.07.2013 13:55:00 Uhr","15.07.2013 14:00:00 Uhr","15.07.2013 15:14:00 Uhr","15.07.2013 15:12:00 Uhr"
"2595","EV",4866,"N11194","EWR","BTV",266,"01.11.2013 07:57:00 Uhr","01.11.2013 08:05:00 Uhr","01.11.2013 09:05:00 Uhr","01.11.2013 09:18:00 Uhr"
"2596","UA",243,"N430UA","LGA","IAH",1416,"10.11.2013 16:57:00 Uhr","10.11.2013 17:00:00 Uhr","10.11.2013 19:52:00 Uhr","10.11.2013 20:05:00 Uhr"
"2597","DL",1685,"N975DL","LGA","MCO",950,"22.07.2013 13:45:00 Uhr","22.07.2013 13:47:00 Uhr","22.07.2013 17:20:00 Uhr","22.07.2013 16:44:00 Uhr"
"2598","B6",415,"N587JB","JFK","SFO",2586,"20.07.2013 18:00:00 Uhr","20.07.2013 18:00:00 Uhr","20.07.2013 20:52:00 Uhr","20.07.2013 21:30:00 Uhr"
"2599","UA",1481,"N77871","EWR","SJU",1608,"09.01.2013 07:43:00 Uhr","09.01.2013 07:45:00 Uhr","09.01.2013 12:17:00 Uhr","09.01.2013 12:34:00 Uhr"
"2600","AA",345,"N591AA","LGA","ORD",733,"24.10.2013 17:19:00 Uhr","24.10.2013 17:15:00 Uhr","24.10.2013 18:49:00 Uhr","24.10.2013 19:05:00 Uhr"
"2601","FL",721,"N927AT","LGA","CAK",397,"08.04.2013 14:42:00 Uhr","08.04.2013 14:40:00 Uhr","08.04.2013 16:12:00 Uhr","08.04.2013 16:10:00 Uhr"
"2602","AA",3,"N336AA","JFK","LAX",2475,"21.09.2013 13:02:00 Uhr","21.09.2013 12:00:00 Uhr","21.09.2013 16:16:00 Uhr","21.09.2013 14:55:00 Uhr"
"2603","AA",2437,"N3HCAA","LGA","MIA",1096,"05.11.2013 19:38:00 Uhr","05.11.2013 19:35:00 Uhr","05.11.2013 22:23:00 Uhr","05.11.2013 22:50:00 Uhr"
"2604","YV",3771,"N516LR","LGA","IAD",229,"24.10.2013 16:29:00 Uhr","24.10.2013 16:29:00 Uhr","24.10.2013 17:52:00 Uhr","24.10.2013 17:50:00 Uhr"
"2605","B6",141,"N603JB","JFK","PBI",1028,"15.01.2013 14:44:00 Uhr","15.01.2013 14:44:00 Uhr","15.01.2013 17:38:00 Uhr","15.01.2013 17:45:00 Uhr"
"2606","EV",4122,"N15980","EWR","SDF",642,"25.09.2013 06:52:00 Uhr","25.09.2013 06:56:00 Uhr","25.09.2013 08:59:00 Uhr","25.09.2013 09:09:00 Uhr"
"2607","9E",3540,"N928XJ","JFK","MSP",1029,"02.08.2013 16:09:00 Uhr","02.08.2013 15:59:00 Uhr","02.08.2013 18:51:00 Uhr","02.08.2013 18:28:00 Uhr"
"2608","MQ",3407,"N515MQ","LGA","CMH",479,"14.12.2013 08:26:00 Uhr","14.12.2013 08:30:00 Uhr","14.12.2013 10:31:00 Uhr","14.12.2013 10:30:00 Uhr"
"2609","EV",4571,"N14960","EWR","SAV",708,"17.05.2013 20:00:00 Uhr","17.05.2013 16:25:00 Uhr","17.05.2013 22:24:00 Uhr","17.05.2013 18:34:00 Uhr"
"2610","9E",2900,"N927XJ","JFK","BNA",765,"12.11.2013 15:35:00 Uhr","12.11.2013 15:40:00 Uhr","12.11.2013 17:09:00 Uhr","12.11.2013 17:25:00 Uhr"
"2611","B6",283,"N729JB","JFK","MCO",944,"17.12.2013 17:25:00 Uhr","17.12.2013 16:55:00 Uhr","17.12.2013 20:46:00 Uhr","17.12.2013 19:50:00 Uhr"
"2612","AA",257,"N623AA","JFK","LAS",2248,"18.08.2013 17:07:00 Uhr","18.08.2013 17:10:00 Uhr","18.08.2013 19:39:00 Uhr","18.08.2013 20:05:00 Uhr"
"2613","US",2122,"N954UW","LGA","BOS",184,"26.04.2013 09:54:00 Uhr","26.04.2013 10:00:00 Uhr","26.04.2013 11:02:00 Uhr","26.04.2013 11:12:00 Uhr"
"2614","B6",171,"N705JB","JFK","SMF",2521,"29.05.2013 19:28:00 Uhr","29.05.2013 19:31:00 Uhr","29.05.2013 23:02:00 Uhr","29.05.2013 23:05:00 Uhr"
"2615","AA",785,"N3CGAA","LGA","DFW",1389,"19.04.2013 18:02:00 Uhr","19.04.2013 17:45:00 Uhr","19.04.2013 21:17:00 Uhr","19.04.2013 20:50:00 Uhr"
"2616","DL",1147,"N638DL","LGA","ATL",762,"29.03.2013 19:56:00 Uhr","29.03.2013 20:00:00 Uhr","29.03.2013 22:51:00 Uhr","29.03.2013 22:43:00 Uhr"
"2617","AA",1357,"N5EUAA","JFK","SJU",1598,"01.11.2013 08:22:00 Uhr","01.11.2013 08:20:00 Uhr","01.11.2013 12:10:00 Uhr","01.11.2013 12:30:00 Uhr"
"2618","DL",2003,"N969DL","LGA","MIA",1096,"22.06.2013 06:57:00 Uhr","22.06.2013 07:00:00 Uhr","22.06.2013 09:49:00 Uhr","22.06.2013 10:04:00 Uhr"
"2619","UA",1637,"N27205","EWR","TPA",997,"21.02.2013 16:57:00 Uhr","21.02.2013 16:50:00 Uhr","21.02.2013 19:48:00 Uhr","21.02.2013 19:52:00 Uhr"
"2620","VX",23,"N849VA","JFK","SFO",2586,"11.08.2013 10:32:00 Uhr","11.08.2013 10:30:00 Uhr","11.08.2013 13:49:00 Uhr","11.08.2013 13:50:00 Uhr"
"2621","B6",179,"N579JB","JFK","PHX",2153,"31.05.2013 20:28:00 Uhr","31.05.2013 20:19:00 Uhr","31.05.2013 22:36:00 Uhr","31.05.2013 22:49:00 Uhr"
"2622","WN",273,"N8605E","LGA","MDW",725,"02.06.2013 06:09:00 Uhr","02.06.2013 06:10:00 Uhr","02.06.2013 07:36:00 Uhr","02.06.2013 07:25:00 Uhr"
"2623","YV",3791,"N503MJ","LGA","IAD",229,"14.05.2013 16:00:00 Uhr","14.05.2013 16:03:00 Uhr","14.05.2013 17:13:00 Uhr","14.05.2013 17:30:00 Uhr"
"2624","MQ",3670,"N522MQ","LGA","BNA",764,"19.07.2013 09:48:00 Uhr","19.07.2013 09:55:00 Uhr","19.07.2013 10:46:00 Uhr","19.07.2013 11:15:00 Uhr"
"2625","UA",1217,"N35260","EWR","ORD",719,"17.05.2013 19:08:00 Uhr","17.05.2013 19:08:00 Uhr","17.05.2013 20:56:00 Uhr","17.05.2013 20:53:00 Uhr"
"2626","B6",201,"N715JB","JFK","FLL",1069,"18.11.2013 18:37:00 Uhr","18.11.2013 18:30:00 Uhr","18.11.2013 21:29:00 Uhr","18.11.2013 21:38:00 Uhr"
"2627","UA",1148,"N38727","EWR","TPA",997,"31.12.2013 11:40:00 Uhr","31.12.2013 11:41:00 Uhr","31.12.2013 14:47:00 Uhr","31.12.2013 14:36:00 Uhr"
"2628","UA",132,"N17122","JFK","LAX",2475,"21.03.2013 15:42:00 Uhr","21.03.2013 15:45:00 Uhr","21.03.2013 19:08:00 Uhr","21.03.2013 19:07:00 Uhr"
"2629","UA",766,"N597UA","JFK","SFO",2586,"19.12.2013 11:56:00 Uhr","19.12.2013 12:00:00 Uhr","19.12.2013 15:22:00 Uhr","19.12.2013 15:35:00 Uhr"
"2630","EV",4143,"N17196","EWR","ATL",746,"27.08.2013 09:30:00 Uhr","27.08.2013 09:39:00 Uhr","27.08.2013 11:48:00 Uhr","27.08.2013 12:08:00 Uhr"
"2631","AA",353,"N4XWAA","LGA","ORD",733,"17.11.2013 18:41:00 Uhr","17.11.2013 18:05:00 Uhr","17.11.2013 20:57:00 Uhr","17.11.2013 19:50:00 Uhr"
"2632","MQ",4475,"N711MQ","LGA","RDU",431,"15.02.2013 13:20:00 Uhr","15.02.2013 13:25:00 Uhr","15.02.2013 14:56:00 Uhr","15.02.2013 15:05:00 Uhr"
"2633","EV",5287,"N717EV","LGA","MSN",812,"01.10.2013 18:11:00 Uhr","01.10.2013 18:15:00 Uhr","01.10.2013 19:25:00 Uhr","01.10.2013 19:54:00 Uhr"
"2634","UA",797,"N597UA","JFK","LAX",2475,"06.09.2013 06:22:00 Uhr","06.09.2013 06:30:00 Uhr","06.09.2013 08:52:00 Uhr","06.09.2013 09:30:00 Uhr"
"2635","US",1899,"N741UW","LGA","CLT",544,"01.07.2013 17:22:00 Uhr","01.07.2013 15:40:00 Uhr","01.07.2013 19:07:00 Uhr","01.07.2013 17:41:00 Uhr"
"2636","MQ",3662,"N527MQ","LGA","ATL",762,"20.08.2013 19:51:00 Uhr","20.08.2013 20:00:00 Uhr","20.08.2013 22:25:00 Uhr","20.08.2013 22:25:00 Uhr"
"2637","US",2126,"N952UW","LGA","BOS",184,"04.04.2013 11:49:00 Uhr","04.04.2013 12:00:00 Uhr","04.04.2013 13:00:00 Uhr","04.04.2013 13:10:00 Uhr"
"2638","EV",4974,"N754EV","LGA","BTV",258,"13.08.2013 11:55:00 Uhr","13.08.2013 11:55:00 Uhr","13.08.2013 12:57:00 Uhr","13.08.2013 13:23:00 Uhr"
"2639","9E",3310,"N604LR","JFK","MCI",1113,"07.07.2013 17:01:00 Uhr","07.07.2013 17:15:00 Uhr","07.07.2013 :NA:00 Uhr","07.07.2013 19:52:00 Uhr"
"2640","DL",1935,"N351NW","LGA","TPA",1010,"17.05.2013 15:24:00 Uhr","17.05.2013 15:30:00 Uhr","17.05.2013 18:27:00 Uhr","17.05.2013 18:31:00 Uhr"
"2641","B6",1117,"N644JB","LGA","TPA",1010,"02.12.2013 16:54:00 Uhr","02.12.2013 16:00:00 Uhr","02.12.2013 19:49:00 Uhr","02.12.2013 19:07:00 Uhr"
"2642","AA",763,"N3FDAA","LGA","DFW",1389,"01.03.2013 15:24:00 Uhr","01.03.2013 15:35:00 Uhr","01.03.2013 18:16:00 Uhr","01.03.2013 18:50:00 Uhr"
"2643","9E",3355,"N917XJ","JFK","MSP",1029,"09.02.2013 16:05:00 Uhr","09.02.2013 15:50:00 Uhr","09.02.2013 18:43:00 Uhr","09.02.2013 18:18:00 Uhr"
"2644","UA",1175,"N17139","JFK","LAX",2475,"06.06.2013 05:59:00 Uhr","06.06.2013 06:00:00 Uhr","06.06.2013 08:32:00 Uhr","06.06.2013 09:00:00 Uhr"
"2645","EV",5736,"N836AS","LGA","IAD",229,"18.04.2013 10:00:00 Uhr","18.04.2013 10:04:00 Uhr","18.04.2013 11:42:00 Uhr","18.04.2013 11:30:00 Uhr"
"2646","UA",535,"N518UA","JFK","LAX",2475,"14.05.2013 17:53:00 Uhr","14.05.2013 17:55:00 Uhr","14.05.2013 20:23:00 Uhr","14.05.2013 21:03:00 Uhr"
"2647","UA",1289,"N34131","EWR","MCO",937,"08.06.2013 11:33:00 Uhr","08.06.2013 11:35:00 Uhr","08.06.2013 14:15:00 Uhr","08.06.2013 14:15:00 Uhr"
"2648","DL",2147,"N958DL","LGA","ATL",762,"18.12.2013 17:59:00 Uhr","18.12.2013 18:00:00 Uhr","18.12.2013 20:31:00 Uhr","18.12.2013 20:46:00 Uhr"
"2649","EV",5804,"N12195","EWR","OMA",1134,"16.08.2013 21:28:00 Uhr","16.08.2013 20:29:00 Uhr","16.08.2013 23:48:00 Uhr","16.08.2013 22:47:00 Uhr"
"2650","MQ",4410,"N832MQ","JFK","DCA",213,"09.02.2013 17:02:00 Uhr","09.02.2013 17:05:00 Uhr","09.02.2013 18:14:00 Uhr","09.02.2013 18:30:00 Uhr"
"2651","DL",2379,"N929DL","LGA","FLL",1076,"28.08.2013 10:05:00 Uhr","28.08.2013 09:15:00 Uhr","28.08.2013 13:05:00 Uhr","28.08.2013 12:31:00 Uhr"
"2652","DL",2065,"N723TW","JFK","SFO",2586,"22.05.2013 15:58:00 Uhr","22.05.2013 16:00:00 Uhr","22.05.2013 19:29:00 Uhr","22.05.2013 19:51:00 Uhr"
"2653","AA",773,"N4XXAA","LGA","DFW",1389,"16.06.2013 16:44:00 Uhr","16.06.2013 17:00:00 Uhr","16.06.2013 19:36:00 Uhr","16.06.2013 20:00:00 Uhr"
"2654","VX",251,"N847VA","JFK","LAS",2248,"30.08.2013 09:41:00 Uhr","30.08.2013 09:50:00 Uhr","30.08.2013 11:38:00 Uhr","30.08.2013 12:20:00 Uhr"
"2655","VX",169,"N623VA","EWR","LAX",2454,"11.09.2013 22:03:00 Uhr","11.09.2013 18:55:00 Uhr","11.09.2013 0:30:00 Uhr","11.09.2013 22:00:00 Uhr"
"2656","B6",1371,"N607JB","LGA","FLL",1076,"25.06.2013 :01:00 Uhr","25.06.2013 21:30:00 Uhr","25.06.2013 02:49:00 Uhr","25.06.2013 0:14:00 Uhr"
"2657","B6",918,"N273JB","JFK","BOS",187,"23.08.2013 16:39:00 Uhr","23.08.2013 16:36:00 Uhr","23.08.2013 17:49:00 Uhr","23.08.2013 18:05:00 Uhr"
"2658","UA",1078,"N77510","EWR","SAT",1569,"18.10.2013 17:20:00 Uhr","18.10.2013 17:29:00 Uhr","18.10.2013 20:48:00 Uhr","18.10.2013 20:32:00 Uhr"
"2659","DL",1619,"N372NW","LGA","MSP",1020,"12.04.2013 17:04:00 Uhr","12.04.2013 16:23:00 Uhr","12.04.2013 18:55:00 Uhr","12.04.2013 18:40:00 Uhr"
"2660","B6",1211,"N635JB","JFK","LAS",2248,"06.09.2013 11:20:00 Uhr","06.09.2013 11:29:00 Uhr","06.09.2013 13:26:00 Uhr","06.09.2013 14:00:00 Uhr"
"2661","AA",361,"N3EVAA","LGA","ORD",733,"19.06.2013 19:14:00 Uhr","19.06.2013 19:20:00 Uhr","19.06.2013 20:51:00 Uhr","19.06.2013 21:00:00 Uhr"
"2662","UA",434,"N818UA","EWR","SNA",2434,"15.10.2013 09:01:00 Uhr","15.10.2013 08:52:00 Uhr","15.10.2013 11:51:00 Uhr","15.10.2013 12:08:00 Uhr"
"2663","EV",4166,"N27200","EWR","GSP",594,"04.10.2013 06:36:00 Uhr","04.10.2013 06:40:00 Uhr","04.10.2013 08:22:00 Uhr","04.10.2013 08:38:00 Uhr"
"2664","EV",4348,"N21144","EWR","MSP",1008,"28.10.2013 20:22:00 Uhr","28.10.2013 20:25:00 Uhr","28.10.2013 22:27:00 Uhr","28.10.2013 22:28:00 Uhr"
"2665","MQ",3486,"N511MQ","LGA","BNA",764,"12.11.2013 19:35:00 Uhr","12.11.2013 18:30:00 Uhr","12.11.2013 22:01:00 Uhr","12.11.2013 19:50:00 Uhr"
"2666","UA",1600,"N17104","EWR","LAX",2454,"26.05.2013 15:20:00 Uhr","26.05.2013 15:20:00 Uhr","26.05.2013 18:11:00 Uhr","26.05.2013 18:25:00 Uhr"
"2667","DL",951,"N1611B","JFK","ATL",760,"08.01.2013 18:43:00 Uhr","08.01.2013 18:55:00 Uhr","08.01.2013 21:42:00 Uhr","08.01.2013 21:42:00 Uhr"
"2668","WN",292,"N402WN","EWR","MDW",711,"28.10.2013 16:56:00 Uhr","28.10.2013 15:30:00 Uhr","28.10.2013 18:04:00 Uhr","28.10.2013 16:45:00 Uhr"
"2669","MQ",4553,"N852MQ","LGA","CLE",419,"15.04.2013 11:50:00 Uhr","15.04.2013 12:00:00 Uhr","15.04.2013 13:41:00 Uhr","15.04.2013 13:45:00 Uhr"
"2670","UA",1460,"N26210","LGA","ORD",733,"06.03.2013 10:14:00 Uhr","06.03.2013 10:00:00 Uhr","06.03.2013 11:38:00 Uhr","06.03.2013 11:37:00 Uhr"
"2671","9E",3573,"N937XJ","LGA","IND",660,"15.10.2013 09:54:00 Uhr","15.10.2013 10:00:00 Uhr","15.10.2013 12:04:00 Uhr","15.10.2013 12:34:00 Uhr"
"2672","WN",254,"N242WN","LGA","MDW",725,"26.02.2013 06:01:00 Uhr","26.02.2013 06:00:00 Uhr","26.02.2013 07:30:00 Uhr","26.02.2013 07:40:00 Uhr"
"2673","AA",305,"N505AA","LGA","ORD",733,"03.06.2013 07:23:00 Uhr","03.06.2013 07:25:00 Uhr","03.06.2013 09:09:00 Uhr","03.06.2013 09:05:00 Uhr"
"2674","UA",161,"N33103","JFK","LAX",2475,"17.01.2013 16:00:00 Uhr","17.01.2013 15:40:00 Uhr","17.01.2013 19:03:00 Uhr","17.01.2013 19:00:00 Uhr"
"2675","UA",269,"N813UA","EWR","ORD",719,"22.04.2013 19:48:00 Uhr","22.04.2013 18:00:00 Uhr","22.04.2013 20:50:00 Uhr","22.04.2013 19:44:00 Uhr"
"2676","WN",144,"N298WN","LGA","MKE",738,"04.12.2013 12:51:00 Uhr","04.12.2013 12:50:00 Uhr","04.12.2013 14:13:00 Uhr","04.12.2013 14:15:00 Uhr"
"2677","WN",573,"N8602F","LGA","MDW",725,"04.03.2013 18:02:00 Uhr","04.03.2013 17:55:00 Uhr","04.03.2013 20:00:00 Uhr","04.03.2013 19:40:00 Uhr"
"2678","DL",1765,"N705TW","JFK","SFO",2586,"19.05.2013 09:57:00 Uhr","19.05.2013 10:00:00 Uhr","19.05.2013 12:42:00 Uhr","19.05.2013 13:29:00 Uhr"
"2679","UA",1116,"N73259","EWR","RSW",1068,"25.08.2013 15:27:00 Uhr","25.08.2013 14:55:00 Uhr","25.08.2013 18:06:00 Uhr","25.08.2013 18:03:00 Uhr"
"2680","AA",739,"N3GLAA","LGA","DFW",1389,"01.05.2013 11:06:00 Uhr","01.05.2013 11:15:00 Uhr","01.05.2013 14:03:00 Uhr","01.05.2013 14:10:00 Uhr"
"2681","EV",5395,"N371CA","LGA","CMH",479,"02.10.2013 13:13:00 Uhr","02.10.2013 13:15:00 Uhr","02.10.2013 14:59:00 Uhr","02.10.2013 15:13:00 Uhr"
"2682","UA",360,"N524UA","EWR","PBI",1023,"25.09.2013 17:58:00 Uhr","25.09.2013 18:03:00 Uhr","25.09.2013 20:53:00 Uhr","25.09.2013 20:56:00 Uhr"
"2683","VX",251,"N849VA","JFK","LAS",2248,"04.05.2013 09:54:00 Uhr","04.05.2013 09:50:00 Uhr","04.05.2013 12:15:00 Uhr","04.05.2013 12:35:00 Uhr"
"2684","UA",541,"N455UA","EWR","RSW",1068,"26.12.2013 11:24:00 Uhr","26.12.2013 09:49:00 Uhr","26.12.2013 14:32:00 Uhr","26.12.2013 13:01:00 Uhr"
"2685","B6",1734,"N203JB","JFK","BTV",266,"04.10.2013 14:54:00 Uhr","04.10.2013 14:59:00 Uhr","04.10.2013 16:06:00 Uhr","04.10.2013 16:22:00 Uhr"
"2686","B6",718,"N184JB","JFK","BOS",187,"10.11.2013 22:47:00 Uhr","10.11.2013 22:55:00 Uhr","10.11.2013 23:52:00 Uhr","10.11.2013 23:56:00 Uhr"
"2687","US",2118,"N963UW","LGA","BOS",184,"25.03.2013 07:58:00 Uhr","25.03.2013 08:00:00 Uhr","25.03.2013 08:59:00 Uhr","25.03.2013 09:08:00 Uhr"
"2688","AA",2083,"N490AA","EWR","DFW",1372,"06.08.2013 06:58:00 Uhr","06.08.2013 07:00:00 Uhr","06.08.2013 09:29:00 Uhr","06.08.2013 09:40:00 Uhr"
"2689","EV",4157,"N14953","EWR","CHS",628,"25.04.2013 15:28:00 Uhr","25.04.2013 14:30:00 Uhr","25.04.2013 17:57:00 Uhr","25.04.2013 16:26:00 Uhr"
